Model,DPO2014B
Firmware Version,1.52

Point Format,Y,,,,,,,
Horizontal Units,S,,,,,,,
Horizontal Scale,0.1,,,,,,,
Sample Interval,0.000256016,,,,,,,
Filter Frequency,1e+08,,,,,,,
Record Length,3906,,,,,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,100,,50,,10,,10,
Vertical Units,V,,V,,A,,A,
Vertical Offset,0,,0,,0,,0,
Vertical Scale,50,,50,,2,,10,
Label,,,,,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect,CH3,CH3 Peak Detect,CH4,CH4 Peak Detect
-1.653e-01,-80,-70,-74,-66,-3.04,-3.04,-2,-1.6
-1.651e-01,-74,-78,-68,-70,-3.12,-3.28,-2,-2.8
-1.648e-01,-66,-58,-62,-54,-3.12,-3.04,-2,-1.6
-1.646e-01,-62,-66,-56,-60,-3.12,-3.2,-2,-2.8
-1.643e-01,-54,-42,-48,-40,-2.96,-2.88,-2.4,-1.6
-1.641e-01,-46,-48,-40,-44,-2.88,-3.04,-2,-2.4
-1.638e-01,-36,-24,-32,-22,-2.8,-2.64,-2,-1.6
-1.635e-01,-26,-32,-24,-26,-2.64,-2.8,-1.6,-2.4
-1.633e-01,-18,-8,-16,-8,-2.48,-2.32,-1.6,-1.2
-1.630e-01,-10,-14,-10,-12,-2.4,-2.48,-1.6,-2
-1.628e-01,-2,8,-2,6,-2.16,-1.92,-1.6,-0.8
-1.625e-01,2,4.47035e-08,6,2,-2,-2.16,-1.6,-2
-1.623e-01,10,22,12,20,-1.84,-1.6,-1.2,-0.8
-1.620e-01,20,16,20,16,-1.6,-1.76,-1.2,-1.6
-1.618e-01,26,38,26,34,-1.44,-1.12,-0.8,-0.4
-1.615e-01,36,32,34,30,-1.12,-1.28,-0.8,-1.2
-1.612e-01,42,54,40,48,-0.88,-0.64,-0.8,1.78814e-08
-1.610e-01,52,48,48,44,-0.64,-0.72,-0.4,-1.2
-1.607e-01,58,68,54,62,-0.4,-0.08,-0.4,0.4
-1.605e-01,66,62,60,58,-0.16,-0.24,1.78814e-08,-0.4
-1.602e-01,72,82,66,74,0.16,0.4,1.78814e-08,0.8
-1.600e-01,80,74,72,68,0.32,0.24,0.4,-0.4
-1.597e-01,84,90,78,82,0.64,0.88,0.4,0.8
-1.595e-01,88,84,80,78,0.88,0.72,0.8,1.78814e-08
-1.592e-01,92,98,84,88,1.12,1.36,0.8,1.6
-1.589e-01,96,92,86,84,1.28,1.2,0.8,0.4
-1.587e-01,100,104,90,94,1.52,1.84,0.8,1.6
-1.584e-01,102,98,92,90,1.76,1.6,1.2,0.8
-1.582e-01,104,108,94,98,2,2.24,1.2,2
-1.579e-01,106,100,96,92,2.24,2,1.6,1.2
-1.577e-01,106,110,96,98,2.32,2.56,1.2,2
-1.574e-01,104,96,94,88,2.48,2.32,1.6,1.2
-1.571e-01,102,108,92,96,2.64,2.8,1.6,2.4
-1.569e-01,98,90,90,82,2.72,2.56,1.6,1.2
-1.566e-01,98,104,86,92,2.88,3.04,1.6,2.4
-1.564e-01,94,84,84,74,2.96,2.8,1.6,1.6
-1.561e-01,90,98,80,86,3.04,3.12,2,2.4
-1.559e-01,86,76,76,68,3.12,2.88,2,1.6
-1.556e-01,84,90,72,80,3.12,3.2,2,2.8
-1.554e-01,78,64,68,56,3.2,2.96,2,1.6
-1.551e-01,72,82,64,72,3.2,3.28,2,2.8
-1.548e-01,68,50,58,44,3.2,2.96,2,1.6
-1.546e-01,60,72,52,60,3.12,3.28,2,2.4
-1.543e-01,52,32,46,28,3.12,2.72,2,1.2
-1.541e-01,44,56,36,48,2.96,3.2,1.6,2.4
-1.538e-01,34,16,28,12,2.88,2.48,1.6,1.2
