Model,DPO2014B
Firmware Version,1.52

Point Format,Y,,,,,,,
Horizontal Units,S,,,,,,,
Horizontal Scale,0.02,,,,,,,
Sample Interval,3.84025e-05,,,,,,,
Filter Frequency,1e+08,,,,,,,
Record Length,5208,,,,,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,100,,50,,10,,10,
Vertical Units,V,,V,,A,,A,
Vertical Offset,0,,0,,0,,0,
Vertical Scale,50,,50,,10,,20,
Label,,,,,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect,CH3,CH3 Peak Detect,CH4,CH4 Peak Detect
-9.324e-02,-36,-42,-37,-41,1.2,0.8,0.4,-0.4
-9.320e-02,-38,-34,-37,-35,1.2,1.6,1.2,2
-9.316e-02,-38,-44,-39,-43,1.6,0.8,0.4,-0.4
-9.313e-02,-40,-36,-41,-37,1.2,1.6,0.4,2
-9.309e-02,-42,-48,-41,-45,1.2,0.8,0.4,-0.4
-9.305e-02,-44,-38,-43,-39,1.2,1.6,0.4,2
-9.301e-02,-44,-50,-45,-47,1.2,0.8,0.4,-0.4
-9.297e-02,-44,-40,-45,-41,1.2,1.6,0.4,2
-9.293e-02,-48,-52,-45,-49,1.2,0.4,0.4,-0.4
-9.290e-02,-46,-44,-47,-43,0.8,1.6,0.4,2
-9.286e-02,-46,-54,-47,-51,0.8,0.4,0.4,-0.4
-9.282e-02,-48,-44,-49,-45,0.8,1.2,-0.4,2
-9.278e-02,-50,-56,-51,-53,0.8,0.4,0.4,-0.4
-9.274e-02,-52,-48,-51,-47,0.8,1.2,-0.4,1.2
-9.270e-02,-54,-58,-51,-55,0.8,0.4,-0.4,-0.4
-9.267e-02,-54,-50,-53,-49,0.8,1.2,0.4,1.2
-9.263e-02,-56,-62,-53,-59,0.8,0.4,0.4,-0.4
-9.259e-02,-54,-52,-55,-51,0.8,1.2,0.4,1.2
-9.255e-02,-58,-62,-55,-59,0.4,0,0.4,-1.2
-9.251e-02,-60,-54,-59,-53,0.8,1.2,0.4,1.2
-9.247e-02,-60,-64,-59,-61,0.8,0,0.4,-0.4
-9.243e-02,-60,-56,-59,-55,0.4,0.8,0.4,1.2
-9.240e-02,-60,-68,-61,-63,0.4,0,0.4,-0.4
-9.236e-02,-62,-58,-61,-57,0.4,0.8,0.4,1.2
-9.232e-02,-64,-68,-61,-65,0.4,-0.4,0.4,-1.2
-9.228e-02,-64,-60,-63,-59,0.4,0.8,0.4,1.2
-9.224e-02,-64,-70,-63,-67,0.4,0,0.4,-1.2
-9.220e-02,-66,-62,-63,-61,0.8,0.8,-0.4,1.2
-9.217e-02,-66,-72,-65,-69,0.4,-0.4,-0.4,-1.2
-9.213e-02,-68,-64,-67,-63,0.4,0.8,-0.4,1.2
-9.209e-02,-70,-76,-67,-71,0.4,-0.4,-0.4,-1.2
-9.205e-02,-72,-66,-69,-65,0.4,0.8,-0.4,1.2
-9.201e-02,-72,-76,-69,-73,0.4,-0.4,-0.4,-1.2
-9.197e-02,-72,-68,-69,-67,0,0.4,-0.4,1.2
-9.194e-02,-74,-80,-71,-75,0,-0.4,-0.4,-1.2
-9.190e-02,-76,-70,-71,-69,0,0.4,-0.4,1.2
-9.186e-02,-76,-80,-73,-77,0,-0.4,-0.4,-1.2
-9.182e-02,-78,-72,-73,-69,0,0.4,0.4,1.2
-9.178e-02,-78,-82,-73,-77,0.4,-0.8,-0.4,-1.2
-9.174e-02,-78,-74,-75,-71,0,0.4,-0.4,1.2
-9.171e-02,-80,-84,-75,-79,0,-0.8,-0.4,-1.2
-9.167e-02,-80,-76,-77,-73,-0.4,0.4,-0.4,1.2
-9.163e-02,-82,-86,-77,-81,0,-0.8,-0.4,-1.2
-9.159e-02,-84,-76,-77,-75,0,0,-0.4,0.4
-9.155e-02,-84,-88,-79,-81,-0.4,-0.8,-0.4,-1.2
-9.151e-02,-84,-78,-79,-77,-0.4,0,-1.2,0.4
-9.147e-02,-84,-88,-81,-83,-0.4,-1.2,-0.4,-1.2
-9.144e-02,-84,-80,-79,-77,-0.8,0,-0.4,0.4
-9.140e-02,-86,-90,-81,-85,-0.4,-0.8,-0.4,-1.2
-9.136e-02,-86,-82,-83,-79,-0.4,0,-0.4,0.4
-9.132e-02,-86,-92,-83,-85,-0.8,-1.2,-0.4,-1.2
-9.128e-02,-88,-84,-83,-79,-0.4,0,-0.4,0.4
-9.124e-02,-88,-92,-83,-87,-0.8,-1.2,-0.4,-2
-9.121e-02,-90,-84,-83,-81,-0.8,0,-0.4,0.4
-9.117e-02,-88,-94,-85,-87,-0.8,-1.2,-0.4,-1.2
-9.113e-02,-92,-86,-85,-83,-0.8,-0.4,-1.2,0.4
-9.109e-02,-92,-96,-87,-89,-0.8,-1.2,-1.2,-2
-9.105e-02,-90,-86,-85,-83,-0.8,-0.4,-0.4,0.4
-9.101e-02,-92,-96,-87,-89,-0.8,-1.2,-0.4,-2
-9.098e-02,-92,-88,-87,-85,-0.8,-0.4,-0.4,0.4
-9.094e-02,-92,-98,-87,-91,-0.8,-1.6,-0.4,-2
-9.090e-02,-94,-90,-89,-85,-0.8,-0.4,-1.2,0.4
-9.086e-02,-96,-98,-89,-91,-0.8,-1.6,-0.4,-2
-9.082e-02,-96,-90,-89,-87,-1.2,-0.4,-0.4,0.4
-9.078e-02,-96,-100,-89,-93,-1.2,-1.6,-0.4,-2
-9.075e-02,-94,-92,-89,-87,-0.8,-0.8,-1.2,0.4
-9.071e-02,-98,-100,-91,-93,-0.8,-1.6,-1.2,-2
-9.067e-02,-96,-92,-91,-89,-1.2,-0.8,-1.2,0.4
-9.063e-02,-96,-102,-91,-95,-1.2,-1.6,-1.2,-2
-9.059e-02,-98,-94,-91,-89,-1.2,-0.8,-0.4,0.4
-9.055e-02,-100,-102,-93,-95,-1.2,-1.6,-0.4,-2
-9.051e-02,-98,-94,-93,-91,-1.6,-0.8,-1.2,0.4
-9.048e-02,-100,-104,-93,-97,-1.2,-1.6,-1.2,-2
-9.044e-02,-100,-96,-93,-91,-1.2,-0.8,-1.2,0.4
-9.040e-02,-100,-104,-93,-97,-1.2,-2,-1.2,-2
-9.036e-02,-102,-96,-95,-91,-1.6,-0.8,-1.2,0.4
-9.032e-02,-102,-106,-95,-97,-1.2,-2,-1.2,-2
