Model,DPO2014B
Firmware Version,1.52

Point Format,Y,,,,,,,
Horizontal Units,S,,,,,,,
Horizontal Scale,0.1,,,,,,,
Sample Interval,0.000192012,,,,,,,
Filter Frequency,1e+08,,,,,,,
Record Length,5207,,,,,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,100,,50,,10,,10,
Vertical Units,V,,V,,A,,A,
Vertical Offset,0,,0,,0,,0,
Vertical Scale,50,,50,,20,,10,
Label,,,,,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect,CH3,CH3 Peak Detect,CH4,CH4 Peak Detect
-1.831e-01,-2,2,27,33,0.8,1.6,-0.2,0.6
-1.829e-01,-6,-8,31,29,1.6,-7.15256e-08,0.2,-0.6
-1.827e-01,-4,2,37,43,0.8,2.4,0.2,1
-1.825e-01,-4,-6,41,39,0.8,-7.15256e-08,0.2,0.2
-1.823e-01,-4,2,47,53,1.6,2.4,0.6,1.4
-1.821e-01,-2,-6,51,49,2.4,0.8,1.4,0.6
-1.819e-01,-2,2,55,61,1.6,3.2,1,1.8
-1.817e-01,-2,-6,61,57,2.4,0.8,1.4,1
-1.815e-01,-2,2,65,69,2.4,3.2,1.4,2.2
-1.813e-01,-2,-6,67,65,2.4,1.6,1.8,1.4
-1.812e-01,-2,2,71,77,2.4,4,1.8,2.6
-1.810e-01,-2,-6,75,71,3.2,1.6,2.2,1.4
-1.808e-01,-2,2,77,81,3.2,4,2.6,2.6
-1.806e-01,-4,-6,81,77,3.2,1.6,2.2,1.8
-1.804e-01,-2,2,81,85,3.2,4,2.6,3
-1.802e-01,-4,-6,83,81,3.2,2.4,2.2,2.2
-1.800e-01,-4,2,85,89,3.2,4.8,2.6,3.4
-1.798e-01,-4,-6,87,85,4,2.4,2.6,2.2
-1.796e-01,-2,2,89,91,3.2,4.8,3,3.4
-1.794e-01,-4,-6,89,85,3.2,2.4,3,2.6
-1.792e-01,-2,2,89,91,4,4.8,3,3.8
-1.790e-01,-2,-6,87,83,4,2.4,3.4,2.6
-1.788e-01,-2,2,87,91,4,4.8,3,3.8
-1.787e-01,-2,-6,87,81,4,2.4,3.4,2.6
-1.785e-01,-4,2,85,89,4,4.8,3.4,3.8
-1.783e-01,-2,-6,83,77,4,2.4,3.4,3
-1.781e-01,-2,2,83,85,4,4.8,3.4,3.8
-1.779e-01,-2,-6,79,73,4,2.4,3.4,3
-1.777e-01,-2,2,77,81,3.2,4.8,3.4,3.8
-1.775e-01,-2,-6,75,69,3.2,2.4,3.4,3
-1.773e-01,-4,2,71,77,3.2,4.8,3.4,3.8
-1.771e-01,-2,-6,69,61,4,2.4,3.4,3
-1.769e-01,-2,2,67,73,4,4.8,3.4,3.8
-1.767e-01,-2,-6,63,55,3.2,2.4,3,2.6
-1.765e-01,-4,2,59,67,4,4.8,3,3.8
-1.764e-01,-2,-6,55,45,4,2.4,3,2.6
-1.762e-01,-2,2,53,59,3.2,4,3,3.4
-1.760e-01,-2,-6,47,35,3.2,1.6,3,2.2
-1.758e-01,-2,2,43,49,3.2,4,2.6,3.4
-1.756e-01,-2,-8,37,23,3.2,1.6,2.6,1.8
-1.754e-01,-2,2,31,39,2.4,4,2.6,3
-1.752e-01,-2,-6,25,13,3.2,0.8,2.2,1.4
-1.750e-01,-2,2,21,27,2.4,4,2.2,2.6
-1.748e-01,-2,-6,13,3,2.4,0.8,2.2,1
-1.746e-01,-4,2,9,17,2.4,3.2,1.8,2.2
-1.744e-01,-4,-6,3,-7,2.4,0.8,1.4,1
-1.742e-01,-4,2,-1,7,1.6,3.2,1.4,2.2
-1.740e-01,-4,-6,-5,-15,1.6,-7.15256e-08,1.4,0.6
-1.739e-01,-4,2,-9,-3,1.6,2.4,1,1.8
-1.737e-01,-2,-6,-13,-25,1.6,-7.15256e-08,1,0.2
-1.735e-01,-2,2,-19,-11,0.8,2.4,1,1.4
-1.733e-01,-4,-6,-23,-37,1.6,-0.8,0.6,-0.2
-1.731e-01,-2,2,-29,-21,0.8,1.6,0.6,1
-1.729e-01,-2,-6,-35,-47,0.8,-0.8,0.2,-0.6
-1.727e-01,-4,2,-41,-33,-7.15256e-08,1.6,0.2,0.6
-1.725e-01,-4,-6,-43,-57,0.8,-1.6,-0.2,-1
-1.723e-01,-2,2,-49,-43,-7.15256e-08,0.8,-0.6,0.2
-1.721e-01,-2,-6,-55,-65,-7.15256e-08,-1.6,-0.6,-1.4
-1.719e-01,-2,2,-59,-51,-7.15256e-08,0.8,-1,-0.2
-1.717e-01,-2,-6,-63,-73,-0.8,-2.4,-1,-1.8
-1.715e-01,-2,2,-69,-61,-0.8,-7.15256e-08,-1.4,-0.6
-1.714e-01,-4,-6,-71,-79,-0.8,-2.4,-1.4,-2.2
-1.712e-01,-4,2,-75,-69,-0.8,-7.15256e-08,-1.8,-1
-1.710e-01,-2,-6,-77,-85,-0.8,-2.4,-1.8,-2.6
-1.708e-01,-2,2,-79,-75,-1.6,-7.15256e-08,-1.8,-1.4
-1.706e-01,-2,-6,-83,-89,-1.6,-2.4,-1.8,-3
-1.704e-01,-4,2,-85,-81,-1.6,-0.8,-2.2,-1.8
-1.702e-01,-4,-6,-87,-93,-1.6,-3.2,-2.2,-3
-1.700e-01,-2,2,-89,-85,-2.4,-0.8,-2.6,-1.8
-1.698e-01,-4,-6,-91,-95,-2.4,-3.2,-2.6,-3.4
-1.696e-01,-2,2,-93,-89,-1.6,-0.8,-3,-2.2
-1.694e-01,-4,-6,-93,-95,-1.6,-3.2,-3,-3.4
-1.692e-01,-2,2,-93,-89,-1.6,-0.8,-3,-2.6
-1.691e-01,-6,-6,-91,-93,-2.4,-3.2,-3,-3.8
-1.689e-01,-4,2,-91,-87,-2.4,-0.8,-3,-2.6
-1.687e-01,-2,-6,-89,-91,-2.4,-3.2,-3,-3.8
-1.685e-01,-4,2,-89,-85,-2.4,-1.6,-3,-2.6
-1.683e-01,-4,-6,-87,-89,-2.4,-3.2,-3.4,-3.8
-1.681e-01,-2,2,-85,-81,-2.4,-0.8,-3,-2.6
-1.679e-01,-4,-6,-83,-85,-2.4,-3.2,-3,-3.8
-1.677e-01,-2,2,-79,-77,-1.6,-0.8,-3,-2.6
-1.675e-01,-4,-6,-79,-81,-1.6,-3.2,-3,-3.8
-1.673e-01,-4,2,-77,-73,-2.4,-0.8,-3.4,-2.6
-1.671e-01,-2,-6,-75,-77,-2.4,-3.2,-3,-3.8
-1.669e-01,-4,2,-71,-67,-1.6,-0.8,-3,-2.6
-1.667e-01,-2,-6,-67,-71,-1.6,-3.2,-3,-3.8
-1.666e-01,-2,2,-65,-59,-1.6,-0.8,-3,-2.6
-1.664e-01,-2,-6,-61,-63,-1.6,-3.2,-3,-3.4
-1.662e-01,-4,2,-57,-49,-1.6,-0.8,-3,-2.2
-1.660e-01,-2,-6,-51,-53,-1.6,-2.4,-2.6,-3.4
-1.658e-01,-2,2,-45,-39,-1.6,-0.8,-2.6,-2.2
-1.656e-01,-2,-6,-41,-43,-0.8,-2.4,-2.6,-3
-1.654e-01,-2,2,-33,-27,-1.6,-7.15256e-08,-2.2,-1.8
-1.652e-01,-4,-6,-29,-31,-0.8,-2.4,-2.2,-2.6
-1.650e-01,-2,2,-23,-15,-0.8,-7.15256e-08,-2.2,-1.4
-1.648e-01,-2,-6,-19,-21,-0.8,-1.6,-1.8,-2.2
