Model,DPO2014B
Firmware Version,1.52

Point Format,Y,,,,,,,
Horizontal Units,S,,,,,,,
Horizontal Scale,0.04,,,,,,,
Sample Interval,7.68049e-05,,,,,,,
Filter Frequency,1e+08,,,,,,,
Record Length,5207,,,,,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,100,,50,,10,,10,
Vertical Units,V,,V,,A,,A,
Vertical Offset,0,,0,,0,,0,
Vertical Scale,50,,50,,20,,10,
Label,,,,,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect,CH3,CH3 Peak Detect,CH4,CH4 Peak Detect
-6.7260e-02,-4,-6,-81,-83,-2.4,-4,-3.4,-3.8
-6.7183e-02,-4,2,-79,-77,-1.6,-0.8,-3.4,-2.6
-6.7106e-02,-2,-6,-79,-81,-2.4,-3.2,-3.4,-3.8
-6.7029e-02,-2,2,-77,-75,-2.4,-1.6,-3,-2.6
-6.6952e-02,-2,-8,-77,-79,-2.4,-3.2,-3.4,-3.8
-6.6876e-02,-4,2,-77,-73,-2.4,-1.6,-3,-2.6
-6.6799e-02,-2,-6,-75,-77,-2.4,-3.2,-3.4,-3.8
-6.6722e-02,-2,2,-75,-71,-1.6,-1.6,-3,-2.6
-6.6645e-02,-2,-6,-73,-75,-1.6,-3.2,-3,-3.8
-6.6568e-02,-2,2,-73,-69,-2.4,-1.6,-3,-2.6
-6.6492e-02,-4,-6,-71,-73,-2.4,-3.2,-3,-3.8
-6.6415e-02,-2,2,-71,-67,-2.4,-1.6,-3,-2.6
-6.6338e-02,-2,-6,-71,-71,-2.4,-3.2,-3.4,-3.8
-6.6261e-02,-4,2,-67,-65,-2.4,-0.8,-3.4,-2.6
-6.6184e-02,-4,-6,-67,-69,-2.4,-3.2,-3,-3.8
-6.6108e-02,-4,2,-65,-61,-1.6,-0.8,-3,-2.6
-6.6031e-02,-2,-6,-63,-65,-2.4,-3.2,-3,-3.4
-6.5954e-02,-4,2,-63,-59,-1.6,-0.8,-3,-2.6
-6.5877e-02,-2,-6,-61,-63,-1.6,-3.2,-3,-3.4
-6.5800e-02,-2,2,-59,-55,-1.6,-0.8,-3,-2.6
-6.5724e-02,-4,-6,-57,-61,-1.6,-3.2,-3,-3.4
-6.5647e-02,-4,2,-57,-51,-2.4,-0.8,-3,-2.6
-6.5570e-02,-4,-6,-55,-57,-2.4,-3.2,-2.6,-3.4
-6.5493e-02,-4,2,-53,-47,-2.4,-0.8,-2.6,-2.2
-6.5416e-02,-4,-6,-51,-53,-2.4,-3.2,-3,-3
-6.5339e-02,-2,2,-49,-43,-1.6,-0.8,-2.6,-2.2
-6.5263e-02,-4,-6,-45,-47,-1.6,-2.4,-2.6,-3
-6.5186e-02,-4,2,-43,-39,-1.6,-0.8,-2.6,-2.2
-6.5109e-02,-2,-6,-41,-43,-1.6,-2.4,-2.6,-3
-6.5032e-02,-2,2,-39,-35,-1.6,-0.8,-2.6,-1.8
-6.4955e-02,-2,-6,-37,-39,-1.6,-2.4,-2.2,-3
-6.4879e-02,-4,2,-35,-29,-0.8,-0.8,-2.2,-1.8
-6.4802e-02,-2,-6,-31,-35,-1.6,-2.4,-2.2,-2.6
-6.4725e-02,-2,2,-29,-25,-1.6,-7.15256e-08,-2.2,-1.8
-6.4648e-02,-2,-6,-27,-29,-0.8,-2.4,-2.2,-2.6
-6.4571e-02,-2,2,-25,-21,-1.6,-7.15256e-08,-2.2,-1.4
-6.4495e-02,-2,-6,-23,-25,-0.8,-2.4,-2.2,-2.6
-6.4418e-02,-4,2,-21,-17,-0.8,-7.15256e-08,-1.8,-1.4
-6.4341e-02,-4,-6,-19,-21,-0.8,-2.4,-1.8,-2.2
-6.4264e-02,-4,2,-17,-13,-0.8,-7.15256e-08,-1.8,-1.4
-6.4187e-02,-2,-6,-13,-17,-0.8,-2.4,-1.8,-2.2
-6.4111e-02,-2,2,-11,-9,-0.8,-7.15256e-08,-1.8,-1
-6.4034e-02,-2,-6,-11,-13,-0.8,-1.6,-1.4,-2.2
-6.3957e-02,-4,2,-9,-5,-0.8,-7.15256e-08,-1.4,-1
-6.3880e-02,-2,-6,-7,-7,-0.8,-1.6,-1.4,-1.8
-6.3803e-02,-2,2,-5,1,-0.8,0.8,-1.8,-1
-6.3727e-02,-4,-6,-3,-3,-0.8,-1.6,-1,-1.8
-6.3650e-02,-1.3411e-07,2,-1,5,-7.15256e-08,0.8,-1.4,-0.6
-6.3573e-02,-2,-6,1,-1,-0.8,-1.6,-1,-1.8
-6.3496e-02,-2,2,3,7,-7.15256e-08,0.8,-1,-0.6
-6.3419e-02,-2,-6,5,3,-7.15256e-08,-0.8,-1,-1.4
-6.3343e-02,-2,2,7,11,-7.15256e-08,0.8,-1,-0.6
-6.3266e-02,-4,-8,9,7,-0.8,-0.8,-1,-1.4
-6.3189e-02,-2,2,9,15,-7.15256e-08,0.8,-0.6,-0.2
-6.3112e-02,-2,-6,13,11,-7.15256e-08,-0.8,-0.6,-1.4
-6.3035e-02,-4,2,13,19,-7.15256e-08,0.8,-0.6,-0.2
-6.2959e-02,-4,-6,17,15,-7.15256e-08,-0.8,-0.6,-1
-6.2882e-02,-2,2,17,21,-7.15256e-08,1.6,-0.2,-0.2
-6.2805e-02,-2,-6,19,17,-7.15256e-08,-0.8,-0.2,-1
-6.2728e-02,-2,2,23,25,0.8,1.6,-0.2,0.2
-6.2651e-02,-4,-6,25,21,-7.15256e-08,-0.8,-0.2,-1
-6.2575e-02,-4,2,25,29,0.8,1.6,-0.2,0.2
-6.2498e-02,-2,-6,27,25,0.8,-0.8,-0.2,-0.6
-6.2421e-02,-2,2,31,35,0.8,1.6,-0.2,0.6
-6.2344e-02,-2,-6,33,31,0.8,-7.15256e-08,0.2,-0.6
-6.2267e-02,-2,2,35,39,0.8,1.6,-0.2,0.6
-6.2190e-02,-2,-6,37,35,0.8,-7.15256e-08,0.2,-0.2
-6.2114e-02,-2,2,37,43,1.6,1.6,0.2,1
-6.2037e-02,-4,-6,41,39,1.6,-7.15256e-08,0.2,-0.2
-6.1960e-02,-2,2,41,47,1.6,2.4,0.2,1
-6.1883e-02,-2,-6,45,43,1.6,-7.15256e-08,0.6,0.2
-6.1806e-02,-2,-1.3411e-07,45,49,1.6,2.4,0.6,1
-6.1730e-02,-2,-6,47,47,1.6,0.8,0.6,0.2
-6.1653e-02,-2,2,49,53,1.6,2.4,0.6,1.4
-6.1576e-02,-2,-6,51,49,1.6,0.8,1,0.6
-6.1499e-02,-4,2,55,57,1.6,3.2,1,1.4
-6.1422e-02,-4,-6,55,53,2.4,0.8,1,0.6
-6.1346e-02,-2,2,57,61,1.6,3.2,1,1.8
-6.1269e-02,-2,-6,57,57,1.6,0.8,1.4,0.6
-6.1192e-02,-4,2,59,65,1.6,3.2,1.4,1.8
-6.1115e-02,-4,-6,61,59,2.4,0.8,1.4,1
-6.1038e-02,-2,2,63,67,2.4,3.2,1.4,1.8
-6.0962e-02,-2,-6,65,63,2.4,1.6,1.4,1
-6.0885e-02,-4,2,67,71,2.4,3.2,1.8,2.2
-6.0808e-02,-2,-6,69,65,2.4,1.6,1.8,1.4
-6.0731e-02,-2,2,69,73,2.4,3.2,1.4,2.2
-6.0654e-02,-4,-6,71,69,2.4,1.6,1.8,1.4
-6.0578e-02,-4,2,71,75,2.4,4,1.8,2.2
-6.0501e-02,-4,-6,73,71,2.4,1.6,1.8,1.4
-6.0424e-02,-4,2,73,77,3.2,4,1.8,2.6
-6.0347e-02,-2,-6,77,73,3.2,1.6,2.2,1.8
-6.0270e-02,-2,2,77,81,3.2,4,2.2,2.6
-6.0194e-02,-4,-6,79,75,3.2,1.6,2.2,1.8
-6.0117e-02,-4,2,79,81,3.2,4,2.2,2.6
-6.0040e-02,-2,-6,79,77,3.2,1.6,2.2,1.8
-5.9963e-02,-2,2,81,83,3.2,4,2.6,3
-5.9886e-02,-2,-6,81,79,3.2,2.4,2.6,1.8
-5.9810e-02,-2,2,81,85,3.2,4,2.6,3
-5.9733e-02,-2,-6,83,81,3.2,2.4,2.6,2.2
-5.9656e-02,-2,2,83,87,3.2,4,2.6,3
-5.9579e-02,-2,-6,83,81,3.2,2.4,2.6,2.2
-5.9502e-02,-4,2,85,87,3.2,4,2.6,3.4
-5.9425e-02,-2,-6,85,83,3.2,2.4,2.6,2.2
-5.9349e-02,-2,2,85,89,3.2,4.8,3,3.4
-5.9272e-02,-2,-6,87,85,3.2,2.4,2.6,2.2
-5.9195e-02,-2,2,87,89,4,4.8,3,3.4
